tick,sol,sensor.temperature,sensor.wind_speed,sensor.solar_irradiance,sensor.day_phase,sensor.dust,energy.generated,energy.solar_gen,energy.wind_gen,energy.nuclear_gen,energy.consumed,energy.delta,energy.battery,energy.predicted_delta,energy.slope,energy.level,event.active,energy.alert
468,19,-31.762453200984503,0.3412740800404992,22.709412366755966,1.0,0.0338053270946662,66.0,2.0,0.0,64.0,63.0,3.0,100.0,-1.36,-0.2978,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
469,19,-31.350204609682443,1.1759737366188157,24.34296065589333,0.9829629131445341,0.027038951990235288,66.11,2.11,0.0,64.0,63.0,3.11,100.0,-1.2,-0.2806,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
470,19,-30.95087760448494,0.5977587659364398,17.868203409605826,0.9330127018922192,0.02984386127931254,65.47,1.47,0.0,64.0,63.0,2.47,100.0,-0.99,-0.2621,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
471,19,-31.071311252313308,0.47487705109088285,12.850170624606848,0.8535533905932737,0.028121334890547824,64.97,0.97,0.0,64.0,63.0,1.97,100.0,-0.86,-0.2467,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
472,19,-30.574293257283554,1.0173847731451757,11.887382990241539,0.7500000000000002,0.03903613485640024,64.78,0.78,0.0,64.0,63.0,1.78,100.0,-0.81,-0.2362,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
473,19,-30.547427457344902,0.5068386557732676,11.623488228665398,0.6294095225512603,0.05434458016308215,64.64,0.64,0.0,64.0,55.0,9.64,100.0,-0.76,-0.2253,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
474,19,-30.749151267220228,1.1765127496309236,9.432692381706408,0.5,0.06529742376189623,64.42,0.42,0.0,64.0,55.0,9.42,100.0,-0.07,-0.1959,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
475,19,-30.474166932299514,1.8614508085220733,13.667208711526476,0.3705904774487398,0.051411244810454775,64.45,0.45,0.0,64.0,63.0,1.45,100.0,0.65,-0.164,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
476,19,-30.897509676781684,2.2738233466067204,10.035756448903427,0.2499999999999999,0.03810596219731363,64.22,0.22,0.0,64.0,63.0,1.22,100.0,0.71,-0.1524,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
477,19,-30.924115005092496,1.4021901542398105,0.0,0.14644660940672627,0.0432191701086722,64.0,0.0,0.0,64.0,63.0,1.0,100.0,0.69,-0.1458,SURPLUS,,SUGESTÃO: armazenar energia excedente
478,19,-20.656921423231136,1.9352198457786123,11.579064380173495,0.06698729810778076,0.05433773850152905,64.03,0.03,0.0,64.0,61.0,3.03,100.0,0.66,-0.1395,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
479,19,-30.48421757055358,2.879746304563863,7.995506185004316,0.017037086855465844,0.04081720145162576,64.01,0.01,0.0,64.0,61.0,3.01,100.0,0.8,-0.1285,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
480,20,-30.907036571814306,2.42072750139205,14.24941322791999,0.0,0.060321147307773146,64.0,0.0,0.0,64.0,63.0,1.0,100.0,0.95,-0.1173,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
481,20,-30.70201888841735,2.294543535718362,3.1365078422162966,0.0170370868554659,0.049785181077108255,64.0,0.0,0.0,64.0,63.0,1.0,100.0,0.94,-0.1107,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
482,20,-30.45111915236538,1.9326633337112253,11.196991422902935,0.06698729810778065,0.03293839774948877,64.07,0.07,0.0,64.0,63.0,1.07,100.0,0.96,-0.1032,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
483,20,-30.091567127862138,1.0215139234546518,9.17901123831894,0.14644660940672627,0.018266051639731964,64.12,0.12,0.0,64.0,63.0,1.12,100.0,1.01,-0.0941,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
484,20,-30.319627560652506,1.251453042529936,0.0,0.2499999999999999,0.0218548526831683,64.0,0.0,0.0,64.0,63.0,1.0,100.0,1.1,-0.0838,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
485,20,-30.574899765901034,1.816090795023394,0.0,0.3705904774487397,0.02746610994253057,64.0,0.0,0.0,64.0,63.0,1.0,100.0,1.2,-0.0725,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
486,20,-30.318915843960728,0.8965334824675304,0.0,0.5,0.027106898340994515,64.0,0.0,0.0,64.0,63.0,1.0,100.0,1.32,-0.0601,SURPLUS,ColdFront,SUGESTÃO: armazenar energia excedente
